id	taxonID	identifier	parentNameUsageID	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	modified	scientificName	taxonRank	references
1034915	https://www.inaturalist.org/taxa/1034915	https://www.inaturalist.org/taxa/1034915	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	kingdon-wardii	NA	2020-02-13T04:40:41Z	Vaccinium kingdon-wardii	species	NA
1034916	https://www.inaturalist.org/taxa/1034916	https://www.inaturalist.org/taxa/1034916	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	kjellhergii	NA	2020-02-13T04:40:41Z	Vaccinium kjellhergii	species	NA
1034917	https://www.inaturalist.org/taxa/1034917	https://www.inaturalist.org/taxa/1034917	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	korinchense	NA	2020-02-13T04:40:43Z	Vaccinium korinchense	species	NA
1034918	https://www.inaturalist.org/taxa/1034918	https://www.inaturalist.org/taxa/1034918	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	impressinerve	NA	2020-02-13T04:40:43Z	Vaccinium impressinerve	species	NA
1034919	https://www.inaturalist.org/taxa/1034919	https://www.inaturalist.org/taxa/1034919	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	leptocladum	NA	2020-02-13T04:40:44Z	Vaccinium leptocladum	species	NA
1034920	https://www.inaturalist.org/taxa/1034920	https://www.inaturalist.org/taxa/1034920	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	inconspicuum	NA	2020-02-13T04:40:44Z	Vaccinium inconspicuum	species	NA
1034921	https://www.inaturalist.org/taxa/1034921	https://www.inaturalist.org/taxa/1034921	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	insigne	NA	2020-02-13T04:40:45Z	Vaccinium insigne	species	NA
1034922	https://www.inaturalist.org/taxa/1034922	https://www.inaturalist.org/taxa/1034922	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	iteophyllum	NA	2020-02-13T04:40:45Z	Vaccinium iteophyllum	species	NA
1034923	https://www.inaturalist.org/taxa/1034923	https://www.inaturalist.org/taxa/1034923	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	jacobeanum	NA	2020-02-13T04:40:46Z	Vaccinium jacobeanum	species	NA
1034924	https://www.inaturalist.org/taxa/1034924	https://www.inaturalist.org/taxa/1034924	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	jagorii	NA	2020-02-13T04:40:46Z	Vaccinium jagorii	species	NA
1034925	https://www.inaturalist.org/taxa/1034925	https://www.inaturalist.org/taxa/1034925	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	kostermansii	NA	2020-02-13T04:40:47Z	Vaccinium kostermansii	species	NA
1034926	https://www.inaturalist.org/taxa/1034926	https://www.inaturalist.org/taxa/1034926	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	latifolium	NA	2020-02-13T04:40:47Z	Vaccinium latifolium	species	NA
1034927	https://www.inaturalist.org/taxa/1034927	https://www.inaturalist.org/taxa/1034927	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	latissimum	NA	2020-02-13T04:40:48Z	Vaccinium latissimum	species	NA
