#BaseNum	Read1_linear	Read1_log
319	6.000	6.000
320	4.000	4.000
321	4.000	4.000
322	8.000	8.000
323	2.000	2.000
324	2.000	2.000
325	7.000	7.000
326	5.000	5.000
327	2.000	2.000
328	2.000	2.000
329	2.000	2.000
330	2.000	2.000
331	2.000	2.000
332	2.000	2.000
333	2.000	2.000
334	2.000	2.000
335	2.000	2.000
336	4.000	4.000
337	7.000	7.000
338	6.000	6.000
339	9.000	9.000
340	21.000	21.000
341	4.000	4.000
342	3.000	3.000
343	9.000	9.000
344	4.000	4.000
345	7.000	7.000
346	10.000	10.000
347	7.000	7.000
348	8.000	8.000
349	8.000	8.000
350	7.000	7.000
351	2.000	2.000
352	7.000	7.000
353	2.000	2.000
354	13.000	13.000
355	2.000	2.000
356	2.000	2.000
357	2.000	2.000
358	2.000	2.000
359	4.000	4.000
360	8.000	8.000
361	9.000	9.000
362	5.000	5.000
363	4.000	4.000
364	2.000	2.000
365	2.000	2.000
366	2.000	2.000
367	2.000	2.000
368	2.000	2.000
369	2.000	2.000
370	2.000	2.000
371	5.000	5.000
372	2.000	2.000
373	4.000	4.000
374	2.000	2.000
375	3.000	3.000
376	2.000	2.000
377	2.000	2.000
378	2.000	2.000
379	2.000	2.000
380	2.000	2.000
381	2.000	2.000
382	2.000	2.000
383	2.000	2.000
384	5.000	5.000
385	5.000	5.000
386	6.000	6.000
387	2.000	2.000
388	4.000	4.000
389	2.000	2.000
390	2.000	2.000
391	4.000	4.000
392	10.000	10.000
393	11.000	11.000
394	13.000	13.000
395	2.000	2.000
396	2.000	2.000
397	2.000	2.000
398	3.000	3.000
399	2.000	2.000
400	5.000	5.000
401	4.000	4.000
402	2.000	2.000
403	3.000	3.000
404	2.000	2.000
405	2.000	2.000
406	2.000	2.000
407	2.000	2.000
408	2.000	2.000
409	8.000	8.000
410	13.000	13.000
411	11.000	11.000
412	2.000	2.000
413	2.000	2.000
414	2.000	2.000
415	2.000	2.000
416	2.000	2.000
417	2.000	2.000
418	2.000	2.000
419	5.000	5.000
420	4.000	4.000
421	3.000	3.000
422	3.000	3.000
423	5.000	5.000
424	2.000	2.000
425	2.000	2.000
426	2.000	2.000
427	2.000	2.000
428	2.000	2.000
429	2.000	2.000
430	2.000	2.000
431	3.000	3.000
432	2.000	2.000
433	2.000	2.000
434	3.000	3.000
435	3.000	3.000
436	4.000	4.000
437	2.000	2.000
438	2.000	2.000
439	2.000	2.000
440	2.000	2.000
441	2.000	2.000
442	2.000	2.000
443	2.000	2.000
444	6.000	6.000
445	9.000	9.000
446	7.000	7.000
447	8.000	8.000
448	5.000	5.000
449	6.000	6.000
450	2.000	2.000
451	6.000	6.000
452	6.000	6.000
453	2.000	2.000
454	2.000	2.000
455	2.000	2.000
456	2.000	2.000
457	2.000	2.000
458	2.000	2.000
459	2.000	2.000
460	3.000	3.000
461	5.000	5.000
462	4.000	4.000
463	2.000	2.000
464	11.000	11.000
465	11.000	11.000
466	6.000	6.000
467	2.000	2.000
468	2.000	2.000
469	2.000	2.000
470	2.000	2.000
471	2.000	2.000
472	2.000	2.000
473	2.000	2.000
474	2.000	2.000
475	2.000	2.000
476	2.000	2.000
477	2.000	2.000
478	2.000	2.000
479	2.000	2.000
480	2.000	2.000
481	2.000	2.000
482	2.000	2.000
483	2.000	2.000
484	2.000	2.000
485	2.000	2.000
486	2.000	2.000
487	2.000	2.000
488	2.000	2.000
489	2.000	2.000
490	2.000	2.000
491	2.000	2.000
492	2.000	2.000
493	2.000	2.000
494	2.000	2.000
495	2.000	2.000
496	2.000	2.000
497	2.000	2.000
498	2.000	2.000
499	3.000	3.000
500	3.000	3.000
501	4.000	4.000
502	4.000	4.000
503	2.000	2.000
504	2.000	2.000
505	2.000	2.000
506	2.000	2.000
507	4.000	4.000
508	3.000	3.000
509	2.000	2.000
510	2.000	2.000
511	2.000	2.000
512	2.000	2.000
513	2.000	2.000
514	2.000	2.000
515	2.000	2.000
516	2.000	2.000
517	2.000	2.000
518	2.000	2.000
519	2.000	2.000
520	2.000	2.000
521	2.000	2.000
522	2.000	2.000
523	2.000	2.000
524	2.000	2.000
525	7.000	7.000
526	5.000	5.000
527	7.000	7.000
528	6.000	6.000
529	4.000	4.000
530	11.000	11.000
531	7.000	7.000
532	2.000	2.000
